word	transcription	lemma	lem_trans	pos	wordfreq	lemfreq
theoretical	θiəɹɛɾɪkəl 	theoretical	θiəɹɛɾɪkəl 	j	15943	15943
bath	bæθ 	bath	bæθ 	n	12685	15725
baths	bæθs 	bath	bæθ 	n	3040	15725
northwest	nɔːɹθwɛst 	northwest	nɔːɹθwɛst 	n	15241	15505
north-west	nɔːɹθwɛst 	northwest	nɔːɹθwɛst 	n	264	15505
southwest	saʊθwɛst 	southwest	saʊθwɛst 	n	15185	15385
south-west	saʊθwɛst 	southwest	saʊθwɛst 	n	200	15385
thereby	ðɛɹbaɪ 	thereby	ðɛɹbaɪ 	r	15288	15288
altogether	ɔːltəɡɛðɚ 	altogether	ɔːltəɡɛðɚ 	r	14986	14986
therapist	θɛɹəpɪst 	therapist	θɛɹəpɪst 	n	10736	14907
therapists	θɛɹəpɪsts 	therapist	θɛɹəpɪst 	n	4171	14907
seventh	sɛvənθ 	seventh	sɛvənθ 	m	14877	14877
enthusiasm	ɛnθuːziæzəm 	enthusiasm	ɛnθuːziæzəm 	n	14486	14777
enthusiasms	ɛnθuːziæzəmz 	enthusiasm	ɛnθuːziæzəm 	n	291	14777
theology	θɪɑːlədʒi 	theology	θɪɑːlədʒi 	n	14166	14636
theologies	θɪɑːlədʒiz 	theology	θɪɑːlədʒi 	n	470	14636
cloth	klɔθ 	cloth	klɔθ 	n	13249	14408
cloths	klɔθs 	cloth	klɔθ 	n	1159	14408
thief	θiːf 	thief	θiːf 	n	8449	14374
thieves	θiːvz 	thief	θiːf 	n	5925	14374
southeast	saʊθiːst 	southeast	saʊθiːst 	n	13755	14046
south-east	saʊθiːst 	southeast	saʊθiːst 	n	291	14046
thoroughly	θʌɹoʊli 	thoroughly	θʌɹoʊli 	r	14022	14022
authorized	ɔːθɚɹaɪzd 	authorize	ɔːθɚɹaɪz 	v	8114	13916
authorize	ɔːθɚɹaɪz 	authorize	ɔːθɚɹaɪz 	v	3073	13916
authorizing	ɔːθɚɹaɪzɪŋ 	authorize	ɔːθɚɹaɪz 	v	1733	13916
authorizes	ɔːθɚɹaɪzᵻz 	authorize	ɔːθɚɹaɪz 	v	996	13916
gathering	ɡæðɚɹɪŋ 	gathering	ɡæðɚɹɪŋ 	n	10667	13824
gatherings	ɡæðɚɹɪŋz 	gathering	ɡæðɚɹɪŋ 	n	3157	13824
threshold	θɹɛʃoʊld 	threshold	θɹɛʃoʊld 	n	11228	13540
thresholds	θɹɛʃoʊldz 	threshold	θɹɛʃoʊld 	n	2312	13540
worthy	wɜːði 	worthy	wɜːði 	j	13279	13410
worthier	wɜːðiɚ 	worthy	wɜːði 	j	86	13410
worthiest	wɜːðiɪst 	worthy	wɜːði 	j	45	13410
booth	buːθ 	booth	buːθ 	n	10469	13234
booths	buːθs 	booth	buːθ 	n	2765	13234
sympathy	sɪmpəθi 	sympathy	sɪmpəθi 	n	11797	13166
sympathies	sɪmpəθiz 	sympathy	sɪmpəθi 	n	1369	13166
northeast	nɔːɹθiːst 	northeast	nɔːɹθiːst 	n	12803	13021
north-east	nɔːɹθiːst 	northeast	nɔːɹθiːst 	n	218	13021
theft	θɛft 	theft	θɛft 	n	11836	12907
thefts	θɛfts 	theft	θɛft 	n	1071	12907
sweetheart	swiːthɑːɹt 	sweetheart	swiːthɑːɹt 	n	12190	12849
sweethearts	swiːthɑːɹts 	sweetheart	swiːthɑːɹt 	n	659	12849
thrive	θɹaɪv 	thrive	θɹaɪv 	v	6941	12742
thrived	θɹaɪvd 	thrive	θɹaɪv 	v	2064	12742
thriving	θɹaɪvɪŋ 	thrive	θɹaɪv 	v	1996	12742
thrives	θɹaɪvz 	thrive	θɹaɪv 	v	1741	12742
eighth	eɪtθ 	eighth	eɪtθ 	m	12667	12667
throne	θɹoʊn 	throne	θɹoʊn 	n	7758	12528
thrones	θɹoʊnz 	throne	θɹoʊn 	n	4770	12528
thou	ðaʊ 	thou	ðaʊ 	p	12383	12383
faithful	feɪθfəl 	faithful	feɪθfəl 	j	12238	12238
breathing	bɹiːðɪŋ 	breathing	bɹiːðɪŋ 	n	12092	12110
breathings	bɹiːðɪŋz 	breathing	bɹiːðɪŋ 	n	18	12110
thighs	θaɪz 	thigh	θaɪ 	n	6344	11981
thigh	θaɪ 	thigh	θaɪ 	n	5637	11981
